Название вакансии,Название компании,Зарплата,Ссылка
"Middle Разработчик C# (.Net 6, WinForms, WPF)",ООО ИндаСофт,Не указана,https://tomsk.hh.ru/vacancy/119963452?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET Core Developer,Loymax,"от 100 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118858825?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++,Элекард,"до 150 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/115348795?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С,Latat,"до 54 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/116123824?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
IT стажер / практикант (1С программист / консультант),Help-GROUP (ООО Хэлп),Не указана,https://tomsk.hh.ru/vacancy/118879280?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle С++ Developer,АО Атомик Софт,Не указана,https://tomsk.hh.ru/vacancy/72842839?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Vue)/ Frontend Developer (Vue),Rubius,Не указана,https://tomsk.hh.ru/vacancy/119853799?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,ООО ЭПИК,"230 000 – 280 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119865213?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior С++ Developer,АО Атомик Софт,Не указана,https://tomsk.hh.ru/vacancy/89101386?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист станков ЧПУ (CAM-программист), г. Нижнекамск",Сибур,Не указана,https://tomsk.hh.ru/vacancy/118775531?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Presale инженер (Разработка электроники),DI-LABS,"от 120 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119758458?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Presale инженер (Разработка электроники),DI-LABS,"от 120 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119758457?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Technical Engineering Project Management Intern / Стажер инженерно-технической проектной группы,ООО Procter&Gamble - Новомосковск,"от 100 000 ₽ за месяц, до вычета налогов",https://tomsk.hh.ru/vacancy/118112823?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
